iter	Logloss
0	0.6862513708
5	0.6636353731
10	0.6501247041
15	0.642483075
20	0.6371017305
25	0.6333687515
30	0.6302460562
35	0.6277929966
40	0.6251279459
45	0.6226787023
50	0.6205333059
55	0.6191603721
60	0.617897829
65	0.6165872455
70	0.6155687887
75	0.6139632847
80	0.6131173645
85	0.6121690262
90	0.6106744582
95	0.6097700036
100	0.6086097423
105	0.6074706734
110	0.6059471448
115	0.6040799739
120	0.6022519167
125	0.6006010299
130	0.5988663961
135	0.5974224578
140	0.5959227791
145	0.5945584994
150	0.5929948349
155	0.5918621031
160	0.5907102234
165	0.5893498278
170	0.5882043534
175	0.5870617411
180	0.5857186536
185	0.5848951523
190	0.5838982285
195	0.5826113585
200	0.5820885016
205	0.5811999243
210	0.5804382281
215	0.5795180326
220	0.5782471762
225	0.5773254135
