iter	Passed	Remaining
0	35	71638
1	70	70601
2	105	70514
3	139	69796
4	173	69240
5	207	69042
6	242	69177
7	278	69337
8	313	69393
9	341	68054
10	375	67896
11	411	68123
12	445	68115
13	479	68072
14	514	68068
15	549	68129
16	585	68268
17	621	68419
18	656	68445
19	691	68446
20	724	68244
21	752	67617
22	786	67586
23	821	67601
24	856	67665
25	889	67567
26	920	67294
27	964	67930
28	1004	68298
29	1037	68132
30	1071	68054
31	1107	68124
32	1143	68133
33	1159	67030
34	1193	66999
35	1227	66983
36	1262	66977
37	1296	66923
38	1330	66904
39	1364	66874
40	1399	66887
41	1435	66911
42	1471	66980
43	1506	66952
44	1530	66496
45	1566	66546
46	1600	66503
47	1634	66480
48	1669	66472
49	1705	66531
50	1741	66550
51	1776	66538
52	1811	66534
53	1847	66572
54	1906	67409
55	1942	67420
56	1975	67341
57	2009	67273
58	2062	67863
59	2101	67961
60	2139	68008
61	2178	68110
62	2213	68061
63	2248	68023
64	2283	67973
65	2299	67396
66	2332	67302
67	2367	67269
68	2402	67227
69	2437	67200
70	2472	67178
71	2505	67102
72	2539	67034
73	2573	66979
74	2607	66924
75	2642	66897
76	2677	66870
77	2712	66841
78	2748	66825
79	2782	66782
80	2818	66766
81	2852	66726
82	2886	66664
83	2909	66367
84	2958	66662
85	2994	66644
86	3028	66599
87	3061	66519
88	3095	66467
89	3151	66890
90	3185	66822
91	3219	66778
92	3255	66757
93	3289	66705
94	3320	66585
95	3353	66511
96	3373	66183
97	3406	66109
98	3440	66059
99	3474	66007
100	3509	65977
101	3543	65940
102	3576	65870
103	3610	65820
104	3644	65767
105	3679	65750
106	3715	65726
107	3749	65688
108	3783	65645
109	3818	65615
110	3853	65578
111	3887	65532
112	3922	65495
113	3956	65458
114	3990	65413
115	4042	65662
116	4076	65611
117	4110	65559
118	4144	65518
119	4179	65478
120	4240	65849
121	4274	65798
122	4308	65744
123	4341	65687
124	4375	65628
125	4408	65571
126	4442	65512
127	4475	65452
128	4509	65407
129	4543	65350
130	4577	65314
131	4611	65266
132	4645	65210
133	4680	65176
134	4713	65118
135	4747	65074
136	4781	65016
137	4814	64956
138	4847	64896
139	4879	64825
140	4913	64781
141	4946	64725
142	4980	64680
143	5014	64633
144	5048	64587
145	5081	64528
146	5132	64697
147	5163	64611
148	5193	64520
149	5224	64433
150	5260	64410
151	5301	64452
152	5332	64368
153	5364	64305
154	5395	64228
155	5426	64148
156	5457	64062
157	5488	63991
158	5522	63941
159	5555	63885
160	5588	63832
161	5621	63776
162	5654	63722
163	5687	63666
164	5719	63608
165	5752	63556
166	5785	63498
167	5817	63441
168	5850	63382
169	5883	63330
170	5916	63280
171	5949	63229
172	5982	63181
173	6014	63120
174	6047	63065
175	6080	63015
176	6113	62968
177	6146	62918
178	6199	63066
179	6233	63028
180	6266	62973
181	6297	62905
182	6335	62907
183	6381	62987
184	6413	62925
185	6445	62863
186	6482	62852
187	6517	62820
188	6552	62785
189	6587	62752
190	6622	62719
191	6656	62685
192	6691	62654
193	6726	62619
194	6760	62581
195	6796	62553
196	6831	62524
197	6866	62489
198	6900	62450
199	6934	62410
200	6969	62381
201	7004	62348
202	7039	62316
203	7074	62280
204	7108	62240
205	7143	62208
206	7177	62172
207	7211	62132
208	7239	62038
209	7293	62166
210	7327	62131
211	7362	62094
212	7397	62059
213	7449	62169
214	7484	62141
215	7520	62113
216	7558	62108
217	7592	62066
218	7626	62025
219	7660	61984
220	7695	61946
221	7728	61901
222	7762	61858
223	7796	61813
224	7830	61772
225	7865	61738
226	7899	61699
227	7933	61661
228	7968	61626
229	8002	61585
