iter	Logloss
0	0.6908006459
1	0.6890344896
2	0.6865621235
3	0.6844316278
4	0.6827194882
5	0.6807976207
6	0.6788159769
7	0.677065315
8	0.6755755632
9	0.6738003049
10	0.6720876599
11	0.6704571348112	0.668951203613	0.6679692678
14	0.6666553288
115	0.6646006365116	0.6634239876
17	0.6623240056
18	0.661033361
19	0.6595343949
20	0.6583453
21	0.6572939968
22	0.6560260162
23	0.6549711316
24	0.654134598
25	25	0.6541951826	0.6518841017
2727	0.6521317132828	0.6511239042929	0.6502540403
30	0.6494118143131	0.6484486146
32	0.647526953
33	0.6467358541
34	0.6460468111
35	0.6453018604
36	0.6444398324
37	0.64373135
38	0.6429690192
39	0.6422426478
40	0.6415876292
41	0.6409069159
42	0.6402924163
43	0.6396669119
44	0.6390679478
45	0.6384308511
46	0.6378049913
47	0.6372182696
48	0.6366496255
49	0.6360827931
50	0.6355812771
51	0.6350052876
52	0.6344061537
53	0.6339030296
54	0.6334107287
55	0.6329051637
56	0.6323546153
57	0.6318389873
58	0.6311765729
59	0.6306839471
60	0.6302115615
61	0.6297002947
62	0.6291781511
63	0.6287345364
64	0.6282444067
65	0.6277990508
66	0.6272839303
67	0.6267975783
68	0.6262808669
69	0.6258009131
70	0.6252999848
71	0.6248699814
72	0.6244683499
73	0.6240817335
74	0.6236986452
75	0.6232175964
76	0.6228996756
77	0.6225186643
78	0.6221271425
79	0.6216656605
80	0.6213500779
81	0.6210017839
82	0.6205855144
83	0.6202440621
84	0.6199586662
85	0.6195241087
86	0.6190934898
87	0.6188062058
88	0.6184479069
89	0.6181324757
90	0.6178547062
91	0.6174592327
92	0.6171471101
93	0.6167592833
94	0.6164312879
95	0.6160643278
96	0.615757989
97	0.615498448
98	0.6151478768
99	0.6148259455
100	0.6144222954
101	0.6141523705
102	0.6137916513
103	0.613432686
104	0.6131101338
105	0.6127635061
106	0.6124732325
107	0.6121160722
108	0.6117281523
109	0.6113415096
110	0.6110113022
111	0.6106444347
112	0.6104164007
113	0.6101961377
114	0.60987651
115	0.6095326164
116	0.6092689204
117	0.6089676978
118	0.6086158943
119	0.6083699924
120	0.6080759888
121	0.6077533443
122	0.6074584526
123	0.6071451135
124	0.6068871949
125	0.6065614209
126	0.6063919367
127	0.6060778324
128	0.6057254026
129	0.6055369117
130	0.6052945582
131	0.6050246036
132	0.6048175858
133	0.6045599205
134	0.6042743555
