iter	Passed	Remaining
0	232	231794
1	306	152803
2	330	10973	43	443	110331
4	464	92486
5	499	82751
6	503	71407
7	517	6421588	534	58878998	1601	176110	9	1639	16111	610	1666	112	666	50571
13	735	51777
14	807	52995
15	826	50822
16	929	53746
17	937	51158
18	1039	53670
19	1050	51462020	1060	49432121	1077	47922222	1096	46582323	1115	45362424	1139	444425	1237	46345
2626	1186	427727	1290	44814
28	1324	44349
29	1354	43801
30	1370	42853
31	1451	43916
32	1599	46873
33	1618	45995
34	1698	46834
35	1772	47475
36	1802	46906
37	1907	48281
38	1941	47828
39	2003	48077
40	2092	48942
41	2216	50552
42	2296	51104
43	2318	50372
44	2346	49796
45	2363	49025
46	2484	50374
47	2554	50664
48	2575	49986
49	2604	49484
50	2624	48844
51	2714	49487
52	2729	48774
53	2759	48343
54	2782	47812
55	2862	48261
56	2869	47477
57	2898	47077
58	2986	47631
59	3008	47131
60	3020	46495
61	3041	46022
62	3065	45596
63	3080	45052
64	3167	45563
65	3189	45135
66	3227	44949
67	3238	44383
68	3259	43982
69	3265	43385
70	3284	42975
71	3299	42527
72	3315	42106
73	3336	41751
74	3381	41708
75	3403	41382
76	3411	40893
77	3425	40496
78	3436	40064
79	3457	39756
80	3463	39297
81	3483	39001
82	3503	38701
83	3513	38312
84	3532	38025
85	3605	38319
86	3619	37988
87	3632	37642
88	3708	37964
89	3723	37644
90	3749	37456
91	3769	37199
92	3786	36927
93	3802	36645
94	3818	36376
95	3846	36224
96	3872	36048
97	3920	36083
98	3936	35825
99	3968	35712
100	3995	35560
101	4021	35407
102	4030	35096
103	4037	34781
104	4074	34731
105	4102	34603
106	4128	34451
107	4157	34336
108	4166	34059
109	4190	33906
110	4202	33656
111	4213	33407
112	4225	33165
113	4244	32989
114	4259	32782
115	4266	32514
116	4286	32347
117	4300	32147
118	4340	32135
119	4363	32000
120	4371	31753
121	4398	31654
122	4414	31474
123	4488	31708
124	4495	31470
125	4511	31295
126	4524	31102
127	4533	30884
128	4547	30707
129	4565	30551
130	4582	30395
131	4610	30317
132	4626	30159
133	4641	29998
134	4654	29824
135	4688	29784
136	4734	29822
137	4748	29662
138	4765	29515
139	4798	29474
140	4828	29413
141	4847	29287
142	4866	29166
143	4901	29133
144	4948	29181
145	4955	28987
146	4989	28949
147	4998	28774
148	5016	28653
149	5034	28530
150	5170	29071
151	5194	28980
152	5255	29093
153	5275	28981
154	5300	28893
155	5323	28799
156	5348	28720
157	5386	28706
158	5399	28559
159	5407	28390
160	5417	28230
161	5461	28252
162	5510	28293
163	5517	28123
164	5556	28117
165	5578	28028
166	5613	28000
167	5685	28157
168	5704	28048
169	5747	28059
170	5778	28013
171	5803	27936
172	5821	27830
173	5851	27777
174	5868	27666
175	5892	27588
176	5914	27501
177	5925	27362
178	5935	27224
179	5949	27101
180	5960	26970
181	5995	26947
182	6013	26846
183	6078	26958
184	6119	26960
185	6144	26892
186	6176	26850
187	6209	26818
188	6217	26680
189	6237	26589
190	6256	26500
191	6289	26467
192	6296	26326
193	6302	26186
194	6340	26173
195	6354	26067
196	6384	26022
197	6427	26034
198	6466	26026
199	6526	26104
200	6542	26005
201	6552	25887
202	6562	25765
203	6568	25630
204	6574	25496
205	6581	25367
206	6587	25236
207	6594	25108
208	6601	24982
