iter	CompositeMetric	Logloss
0	0.667555086	0.6841803077
1	0.6868933112	0.6758825429
2	0.6914469327	0.668424403
3	0.6952767784	0.6613459195
4	0.7011170092	0.6547596259
5	0.7050791516	0.6483858057
6	0.7101752402	0.6423442701
7	0.7153524184	0.6365959811
8	0.7191919679	0.6314604327
9	0.7206593399	0.6264788997
10	0.723874673	0.6224498731
11	0.7263486244	0.6178946868
12	0.7290142078	0.6139447533
13	0.7343595789	0.6098218222
14	0.7374602313	0.6061319462
15	0.7383548439	0.6029655587
16	0.7400832096	0.6002039309
17	0.7436204926	0.5970366248
18	0.7475230898	0.5930954455
19	0.7517658364	0.5896485952
20	0.7540651734	0.5868356724
21	0.754104124	0.584573509
22	0.7561981091	0.5819173679
23	0.7585792452	0.5791945762
24	0.759080951	0.5771219308
25	0.7612974727	0.574837558
26	0.7641647693	0.5717779082
27	0.7667412897	0.5687634277
28	0.769220178	0.5659105231
29	0.7718909196	0.5633554883
30	0.7751217331	0.5606232244
31	0.7780265481	0.5576071831
32	0.7810473224	0.5554730528
33	0.7821906389	0.5533444117
34	0.7844715526	0.5505637203
35	0.7860854432	0.548518069
36	0.7895759989	0.5460515151
37	0.7903109862	0.5438602234
38	0.7937091238	0.5413908168
39	0.7951436603	0.5395575685
40	0.7969550784	0.5370749524
41	0.8006624615	0.5342972176
42	0.8021037564	0.5321317551
43	0.8034169028	0.5303544298
44	0.8058285103	0.5285882938
45	0.8067385221	0.5264727014
46	0.807878947	0.524779687
