iter	Passed	Remaining
0	420	209957
1	495	123255
2	568	94129
3	637	79078
4	714	70773
5	785	64686
6	858	60455
7	933	57425
8	1002	54679
9	1068	52354
10	1137	50557
11	1207	49119
12	1280	47965
13	1351	46919
14	1423	46020
15	1491	45122
16	1650	46898
17	1723	46148
18	1797	45497
19	1864	44745
20	1929	44012
21	1997	43395
22	2066	42855
23	2137	42403
24	2210	41996
25	2280	41575
26	2350	41178
27	2424	40862
28	2494	40518
29	2567	40227
30	2641	39970
31	2712	39664
32	2780	39346
33	2847	39027
34	2916	38743
35	2987	38500
36	3056	38253
37	3122	37964
38	3278	38748
39	3367	38721
40	3439	38500
41	3518	38369
42	3587	38129
43	3655	37883
44	3730	37722
45	3799	37499
46	3867	37274
